user_id,nr_sessions,date_last_booking_travelled,page_clicks_tot,page_clicks_avg,flights_taken,hotels_stayed,nr_booked_and_travelled,nr_booked_but_cancelled,nr_cancellation_session,nr_no_booking,flight_taken_discount_avg,hotel_stayed_discount_avg,flight_taken_price_avg,hotel_stayed_room_price_per_night_avg,hotel_stayed_nights_avg,nr_airlines_taken,distance_km_tot,distance_km_avg,duration_tot,duration_avg,birthdate,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,age_in_2023,age_bin,user_spend_tot,user_spend_avg,R_score,F_score,M_score,RFM_score,RFM_label,RFM_label2
152583,8,2023-06-05 21:34:00,149,18.625,2,1,1,0,0,7,,,367.83,213.0,3.0,1,2178.7920479266922,2178.7920479266922,5.0,5.0,1986-07-26,F,False,False,usa,colorado springs,COS,38.806,-104.7,2022-04-17,37,"{'left': 30, 'right': 40}",1006.8299999999999,1006.8299999999999,4.0,1,1.0,6.0,new customer,new / need attention
153982,8,2023-07-20 20:37:00,150,18.75,6,3,3,0,0,5,,,218.95666666666662,207.0,2.3333333333333335,2,3847.631883804966,1282.543961268322,8.0,2.6666666666666665,1978-08-15,F,False,True,canada,toronto,YKZ,43.862,-79.37,2022-04-19,45,"{'left': 40, 'right': 50}",1958.87,652.9566666666666,5.0,3,2.0,10.0,loyal,loyal
160754,8,2023-06-26 19:58:00,86,10.75,2,1,1,0,0,7,,,93.62,214.0,3.0,1,526.1207671001255,526.1207671001255,4.0,4.0,1977-12-06,F,True,True,usa,new york,LGA,40.777,-73.872,2022-04-26,46,"{'left': 40, 'right': 50}",735.62,735.62,4.0,1,1.0,6.0,new customer,new / need attention
164522,8,2023-02-08 18:24:00,89,11.125,2,1,1,0,0,7,0.05,,328.32,233.0,14.0,1,1786.0756290858735,1786.0756290858735,15.0,15.0,1975-11-07,F,True,False,usa,kansas city,MCI,39.297,-94.714,2022-04-30,48,"{'left': 40, 'right': 50}",3590.32,3590.32,1.0,1,4.0,6.0,lost high-value,dormant / one-timer
167852,8,,63,7.875,0,0,0,0,0,8,,,,,,0,,,,,2006-02-16,F,False,False,usa,tampa,MCF,27.849,-82.521,2022-05-03,17,"{'left': 17, 'right': 20}",,,,1,,,inactive,inactive
171470,7,,246,35.142857142857146,0,0,0,1,1,5,,,,,,0,,,,,1999-09-14,F,False,False,usa,atlanta,ATL,33.64,-84.427,2022-05-06,24,"{'left': 20, 'right': 30}",,,,1,,,inactive,inactive
174997,7,2023-03-08 09:03:00,97,13.857142857142858,4,2,2,0,0,5,,,295.215,112.0,2.5,2,3230.1223073219207,1615.0611536609604,7.0,3.5,1991-11-01,F,False,False,usa,grand rapids,GRR,42.881,-85.523,2022-05-10,32,"{'left': 30, 'right': 40}",1174.4299999999998,587.2149999999999,1.0,2,1.0,4.0,lost,lost
175032,9,2023-07-20 21:09:00,127,14.11111111111111,4,3,3,0,0,6,,0.15,554.625,139.0,4.333333333333333,2,2717.6390377356656,1358.8195188678328,15.0,5.0,1994-11-05,F,False,False,usa,houston,IAH,29.98,-95.34,2022-05-10,29,"{'left': 20, 'right': 30}",4715.25,1571.75,5.0,3,4.0,12.0,high potential,champion
181157,8,2023-03-28 01:20:00,153,19.125,6,3,3,0,0,5,0.15,0.15,346.4766666666667,162.33333333333334,3.6666666666666665,3,3582.6820257780337,1194.2273419260111,14.0,4.666666666666667,1970-08-10,F,True,False,usa,houston,HOU,29.645,-95.279,2022-05-15,53,"{'left': 50, 'right': 60}",6162.43,2054.1433333333334,2.0,3,5.0,10.0,dormant,need attention
182191,7,,68,9.714285714285714,0,0,0,0,0,7,,,,,,0,,,,,2004-09-27,F,False,True,usa,phoenix,PHX,33.434,-112.008,2022-05-16,19,"{'left': 17, 'right': 20}",,,,1,,,inactive,inactive
187212,8,2023-02-28 14:57:00,128,16.0,6,3,3,0,0,5,,,414.19,217.33333333333334,3.0,3,7016.156212137567,2338.718737379189,10.0,3.3333333333333335,1969-02-20,F,True,True,usa,los angeles,LAX,33.942,-118.408,2022-05-21,54,"{'left': 50, 'right': 60}",2798.5699999999997,932.8566666666666,1.0,3,3.0,7.0,dormant,need attention
189676,8,2023-05-03 19:49:00,93,11.625,2,2,2,0,0,6,,,1244.31,180.5,9.5,1,2284.5514760404676,2284.5514760404676,19.0,9.5,1988-01-10,F,False,True,usa,fort worth,FTW,32.82,-97.362,2022-05-23,35,"{'left': 30, 'right': 40}",6707.3099999999995,3353.6549999999997,3.0,2,5.0,10.0,one timer,dormant / one-timer
190866,9,2023-07-03 11:02:00,186,20.666666666666668,10,5,5,0,0,4,,,416.2,169.2,2.8,3,11347.724273871401,2269.5448547742803,16.0,3.2,1986-09-24,F,False,False,usa,tallahassee,TLH,30.396,-84.35,2022-05-24,37,"{'left': 30, 'right': 40}",4286.0,857.2,5.0,5,4.0,14.0,champion,champion
195192,8,2023-04-15 19:45:00,225,28.125,2,1,1,0,0,7,,,394.29,160.0,1.0,1,1174.4247116617394,1174.4247116617394,3.0,3.0,1995-09-20,F,False,False,usa,chicago,MDW,41.786,-87.752,2022-05-28,28,"{'left': 20, 'right': 30}",714.29,714.29,2.0,1,1.0,4.0,lost,lost
204943,8,2023-05-26 21:01:00,292,36.5,10,5,5,1,1,1,0.1,,470.116,153.8,3.6,5,7822.738452909654,1564.547690581931,22.0,4.4,1982-12-20,M,False,False,canada,ottawa,YOW,45.323,-75.669,2022-06-06,41,"{'left': 40, 'right': 50}",6833.58,1366.716,3.0,5,5.0,13.0,need attention,need attention
204997,7,2023-07-10 17:00:00,397,56.714285714285715,4,1,2,1,1,3,,,244.235,71.0,5.0,2,2544.4972820952253,1272.2486410476126,14.0,7.0,1985-08-26,F,True,False,usa,kansas city,MCI,39.297,-94.714,2022-06-06,38,"{'left': 30, 'right': 40}",843.47,421.735,5.0,2,1.0,8.0,new customer,new / need attention
205044,9,2023-05-05 16:34:00,134,14.88888888888889,6,3,3,0,0,6,0.05,,916.1166666666667,249.33333333333334,5.333333333333333,3,7593.040708817629,2531.0135696058765,17.0,5.666666666666667,1983-08-25,F,True,True,canada,toronto,YKZ,43.862,-79.37,2022-06-06,40,"{'left': 40, 'right': 50}",9110.35,3036.7833333333333,3.0,3,5.0,11.0,need attention,need attention
206011,8,2023-05-03 19:49:00,156,19.5,8,3,4,0,0,4,0.05,0.15,261.64750000000004,113.33333333333333,3.3333333333333335,4,5894.211196044006,1473.5527990110015,13.0,3.25,1984-08-04,F,False,True,usa,kansas city,MCI,39.297,-94.714,2022-06-07,39,"{'left': 30, 'right': 40}",2317.59,579.3975,3.0,4,3.0,10.0,need attention,need attention
216796,8,,125,15.625,0,0,0,1,1,6,,,,,,0,,,,,2001-07-09,F,False,False,usa,cincinnati,CVG,39.046,-84.662,2022-06-16,22,"{'left': 20, 'right': 30}",,,,1,,,inactive,inactive
217114,9,,59,6.555555555555555,0,0,0,0,0,9,,,,,,0,,,,,2004-05-28,O,True,True,usa,long beach,LGB,33.818,-118.151,2022-06-17,19,"{'left': 17, 'right': 20}",,,,1,,,inactive,inactive
217136,8,2023-03-25 22:07:00,106,13.25,2,2,2,0,0,6,,,539.57,236.5,2.5,1,2867.3203671271767,2867.3203671271767,6.0,3.0,1985-04-18,F,False,True,usa,little rock,LIT,34.729,-92.224,2022-06-17,38,"{'left': 30, 'right': 40}",1578.5700000000002,789.2850000000001,2.0,2,2.0,6.0,lost,lost
220725,9,2023-06-07 21:27:00,316,35.111111111111114,6,2,3,1,1,4,,0.05,511.14000000000004,140.0,4.5,3,9246.771115064454,3082.2570383548177,17.0,5.666666666666667,1983-07-28,F,False,False,usa,stockton,SCK,37.894,-121.239,2022-06-20,40,"{'left': 40, 'right': 50}",2775.42,925.14,4.0,3,3.0,10.0,loyal,champion
224996,8,2023-05-11 21:45:00,102,12.75,4,1,2,0,0,6,,,448.805,231.0,1.0,2,4706.02802497039,2353.014012485195,5.0,2.5,1981-03-07,F,False,True,canada,halifax,YHZ,44.881,-63.509,2022-06-23,42,"{'left': 40, 'right': 50}",1128.6100000000001,564.3050000000001,3.0,2,1.0,6.0,one timer,lost
226367,8,2023-06-26 22:55:00,114,14.25,6,3,3,0,0,5,0.05,,296.4033333333333,253.0,2.6666666666666665,3,4967.46982647692,1655.8232754923067,9.0,3.0,1980-10-21,F,False,False,usa,washington,IAD,38.944,-77.456,2022-06-25,43,"{'left': 40, 'right': 50}",3817.21,1272.4033333333334,4.0,3,4.0,11.0,high potential,champion
228195,9,,116,12.88888888888889,0,0,0,0,0,9,,,,,,0,,,,,1997-02-26,F,False,True,usa,los angeles,LAX,33.942,-118.408,2022-06-26,26,"{'left': 20, 'right': 30}",,,,1,,,inactive,inactive
228872,8,2023-07-16 06:05:00,126,15.75,2,2,2,0,0,6,,,509.21,94.0,7.0,1,2770.222785834015,2770.222785834015,14.0,7.0,1989-03-22,M,False,False,usa,san antonio,RND,29.529,-98.279,2022-06-27,34,"{'left': 30, 'right': 40}",1869.21,934.605,5.0,2,2.0,9.0,new customer,new / need attention
229009,8,2023-05-22 19:24:00,144,18.0,4,2,2,1,1,4,,,530.815,149.5,2.5,2,5899.3443421341835,2949.6721710670918,5.0,2.5,2006-08-27,F,False,False,usa,stockton,SCK,37.894,-121.239,2022-06-27,17,"{'left': 17, 'right': 20}",1834.63,917.315,3.0,2,2.0,7.0,one timer,lost
229108,8,,321,40.125,0,0,0,1,1,6,,,,,,0,,,,,1998-05-28,F,False,False,usa,burlington,BTV,44.472,-73.153,2022-06-27,25,"{'left': 20, 'right': 30}",,,,1,,,inactive,inactive
229330,7,2023-07-17 18:34:00,97,13.857142857142858,6,3,3,0,0,4,,,347.5333333333333,224.33333333333334,2.6666666666666665,3,3465.147607177518,1155.049202392506,12.0,4.0,1976-11-08,F,True,False,usa,colorado springs,COS,38.806,-104.7,2022-06-27,47,"{'left': 40, 'right': 50}",5156.6,1718.8666666666668,5.0,3,5.0,13.0,high potential,champion
232647,8,2023-02-23 21:29:00,100,12.5,2,1,2,0,0,6,,,237.1,213.0,11.0,1,1391.5860387887242,1391.5860387887242,14.0,7.0,2006-04-11,F,False,False,usa,birmingham,BHM,33.563,-86.753,2022-06-30,17,"{'left': 17, 'right': 20}",2580.1,1290.05,1.0,2,3.0,6.0,lost high-value,dormant / one-timer
249521,8,2023-07-04 19:01:00,151,18.875,2,2,2,0,0,6,,0.1,642.02,141.5,2.0,1,3551.8048466453542,3551.8048466453542,5.0,2.5,1964-07-23,F,True,True,canada,ottawa,YOW,45.323,-75.669,2022-07-15,59,"{'left': 50, 'right': 60}",1208.02,604.01,5.0,2,1.0,8.0,new customer,new / need attention
252835,8,2023-07-10 06:24:00,117,14.625,10,4,5,0,0,3,0.3,,335.31,132.75,3.25,4,9338.90719137721,1867.7814382754418,21.0,4.2,1986-01-20,F,False,True,usa,chicago,ORD,41.979,-87.904,2022-07-18,37,"{'left': 30, 'right': 40}",3378.55,675.71,5.0,5,4.0,14.0,champion,champion
258451,8,,167,20.875,0,0,0,1,1,6,,,,,,0,,,,,2000-12-10,F,False,False,usa,miami,OPF,25.907,-80.278,2022-07-22,23,"{'left': 20, 'right': 30}",,,,1,,,inactive,inactive
264470,8,2023-03-25 14:05:00,118,14.75,4,2,2,0,0,6,0.05,,436.51,200.0,5.0,2,4610.327417288763,2305.1637086443816,11.0,5.5,1978-11-05,F,False,True,usa,bakersfield,BFL,35.433,-119.057,2022-07-27,45,"{'left': 40, 'right': 50}",3091.02,1545.51,2.0,2,3.0,7.0,lost high-value,dormant / one-timer
276512,8,2023-01-24 11:19:00,98,12.25,2,1,1,0,0,7,,,395.69,100.0,2.0,1,2299.151445834683,2299.151445834683,3.0,3.0,1982-08-27,F,True,True,usa,austin,AUS,30.194,-97.67,2022-08-06,41,"{'left': 40, 'right': 50}",595.69,595.69,1.0,1,1.0,3.0,lost,lost
281952,8,2023-07-08 20:53:00,158,19.75,4,2,2,0,0,6,,0.15,342.36,131.5,1.5,2,3690.0338989653746,1845.0169494826873,4.0,2.0,1987-01-23,F,False,False,usa,louisville,LOU,38.228,-85.664,2022-08-11,36,"{'left': 30, 'right': 40}",1032.72,516.36,5.0,2,1.0,8.0,new customer,new / need attention
283325,8,2023-06-22 21:04:00,114,14.25,2,2,2,0,0,6,0.1,,453.27,360.5,3.5,1,2650.4292736029624,2650.4292736029624,8.0,4.0,1973-05-15,F,True,False,usa,dallas,DAL,32.847,-96.852,2022-08-12,50,"{'left': 50, 'right': 60}",3864.27,1932.135,4.0,2,4.0,10.0,high potential,high potential
290123,8,2023-07-14 06:23:00,171,21.375,11,5,6,0,0,2,,,739.455,243.6,3.6,5,14508.428426611626,2418.0714044352712,20.0,3.3333333333333335,1983-04-08,F,True,False,usa,houston,HOU,29.645,-95.279,2022-08-18,40,"{'left': 40, 'right': 50}",10108.73,1684.7883333333332,5.0,5,5.0,15.0,champion,champion
297546,8,2023-07-07 21:49:00,207,25.875,8,5,5,0,0,3,,0.05,415.18,106.0,5.8,2,7138.9464521615355,1784.7366130403839,32.0,6.4,1972-12-05,F,True,False,usa,new york,JFK,40.64,-73.779,2022-08-24,51,"{'left': 50, 'right': 60}",5694.719999999999,1138.944,5.0,5,5.0,15.0,champion,champion
298253,8,2023-03-29 19:02:00,98,12.25,2,0,1,0,0,7,,,712.42,,,1,3974.215332412202,3974.215332412202,2.0,2.0,1977-08-01,F,True,True,usa,los angeles,LAX,33.942,-118.408,2022-08-24,46,"{'left': 40, 'right': 50}",712.42,712.42,2.0,1,1.0,4.0,lost,lost
299476,9,2023-01-15 18:03:00,187,20.77777777777778,2,1,1,0,0,8,,,192.38,71.0,2.0,1,1109.9190064386771,1109.9190064386771,3.0,3.0,1985-05-19,F,True,False,usa,atlanta,ATL,33.64,-84.427,2022-08-25,38,"{'left': 30, 'right': 40}",334.38,334.38,1.0,1,1.0,3.0,lost,lost
306165,8,,89,11.125,0,0,0,0,0,8,,,,,,0,,,,,2003-04-13,F,False,False,usa,cleveland,CLE,41.412,-81.85,2022-08-31,20,"{'left': 20, 'right': 30}",,,,1,,,inactive,inactive
306819,8,2023-04-07 04:03:00,329,41.125,2,1,1,1,1,5,,,50.16,370.0,2.0,1,295.37013270894334,295.37013270894334,3.0,3.0,1964-04-02,F,True,True,usa,new york,JFK,40.64,-73.779,2022-09-01,59,"{'left': 50, 'right': 60}",790.16,790.16,2.0,1,1.0,4.0,lost,lost
312488,8,2023-07-09 22:17:00,76,9.5,2,1,1,0,0,7,,,407.1,299.0,1.0,1,2265.466661547102,2265.466661547102,1.0,1.0,1993-06-27,M,True,False,usa,new york,JFK,40.64,-73.779,2022-09-05,30,"{'left': 30, 'right': 40}",706.1,706.1,5.0,1,1.0,7.0,new customer,new / need attention
313724,8,2023-04-06 17:38:00,351,43.875,6,4,4,1,1,2,,,385.6133333333334,180.75,4.0,3,5001.795254609968,1667.2650848699893,20.0,5.0,1972-05-13,F,False,False,usa,tulsa,TUL,36.198,-95.888,2022-09-06,51,"{'left': 50, 'right': 60}",4879.84,1219.96,2.0,4,4.0,10.0,at risk,need attention
316527,8,2023-04-20 22:27:00,139,17.375,8,4,4,0,0,4,,0.05,434.9725,322.75,3.5,4,8059.2273789772025,2014.8068447443006,17.0,4.25,1982-07-17,F,True,True,canada,winnipeg,YWG,49.91,-97.234,2022-09-08,41,"{'left': 40, 'right': 50}",8142.89,2035.7225,2.0,4,5.0,11.0,at risk,need attention
317688,8,2023-07-11 22:15:00,133,16.625,8,4,4,0,0,4,,0.05,309.685,168.25,2.25,3,6433.641581689977,1608.4103954224943,11.0,2.75,1983-05-19,F,False,True,usa,indianapolis,IND,39.717,-86.294,2022-09-09,40,"{'left': 40, 'right': 50}",2987.74,746.935,5.0,4,3.0,12.0,loyal,champion
322867,8,2023-01-18 13:58:00,82,10.25,2,1,1,0,0,7,,,173.04,189.0,8.0,1,921.7787732285041,921.7787732285041,8.0,8.0,1977-12-07,F,False,False,usa,mobile,BFM,30.626,-88.068,2022-09-14,46,"{'left': 40, 'right': 50}",1685.04,1685.04,1.0,1,2.0,4.0,lost,lost
324191,8,2023-03-17 20:18:00,86,10.75,4,2,2,0,0,6,,,49.87,273.5,5.0,2,351.54120569389295,175.77060284694647,12.0,6.0,1984-05-27,F,False,False,usa,san diego,SAN,32.733,-117.189,2022-09-15,39,"{'left': 30, 'right': 40}",2631.74,1315.87,2.0,2,3.0,7.0,lost high-value,dormant / one-timer
328590,8,2023-05-18 20:23:00,383,47.875,4,2,2,1,1,4,,0.15,1101.975,155.0,5.5,2,6085.255180339311,3042.6275901696554,13.0,6.5,1968-07-23,F,False,False,usa,san diego,NZY,32.699,-117.215,2022-09-18,55,"{'left': 50, 'right': 60}",5768.95,2884.475,3.0,2,5.0,10.0,one timer,dormant / one-timer
330764,8,2023-04-04 15:35:00,375,46.875,0,2,2,1,1,4,,,,129.5,4.5,0,,,9.0,4.5,1985-02-06,F,False,False,usa,detroit,DET,42.409,-83.01,2022-09-20,38,"{'left': 30, 'right': 40}",1094.0,547.0,2.0,2,1.0,5.0,lost,lost
330893,8,2023-06-30 22:54:00,133,16.625,6,3,3,0,0,5,,,287.2033333333333,138.0,2.3333333333333335,3,4748.40103343734,1582.8003444791132,10.0,3.3333333333333335,1980-12-16,F,True,True,usa,oklahoma city,OKC,35.393,-97.601,2022-09-20,43,"{'left': 40, 'right': 50}",1847.6100000000001,615.87,4.0,3,2.0,9.0,loyal,loyal
331039,8,,198,24.75,0,0,0,1,1,6,,,,,,0,,,,,1979-08-02,F,True,True,canada,london,YXU,43.036,-81.154,2022-09-20,44,"{'left': 40, 'right': 50}",,,,1,,,inactive,inactive
334787,8,2023-03-25 15:22:00,119,14.875,6,3,3,0,0,5,0.05,,252.72333333333336,169.0,2.3333333333333335,3,4184.403721718965,1394.8012405729885,9.0,3.0,1971-04-27,F,False,False,usa,minneapolis,MSP,44.88,-93.217,2022-09-23,52,"{'left': 50, 'right': 60}",1948.17,649.39,2.0,3,2.0,7.0,dormant,at risk
337227,8,,83,10.375,0,0,0,0,0,8,,,,,,0,,,,,1989-06-25,F,True,False,usa,santa ana,SNA,33.676,-117.868,2022-09-25,34,"{'left': 30, 'right': 40}",,,,1,,,inactive,inactive
338086,8,2023-05-08 11:18:00,137,17.125,4,2,2,0,0,6,,0.2,490.845,63.0,2.0,2,5491.348767447482,2745.674383723741,5.0,2.5,1983-12-13,F,False,True,usa,washington,IAD,38.944,-77.456,2022-09-25,40,"{'left': 40, 'right': 50}",1259.69,629.845,3.0,2,1.0,6.0,one timer,lost
340166,8,2023-03-26 09:33:00,88,11.0,0,1,1,0,0,7,,,,237.0,2.0,0,,,2.0,2.0,1973-05-17,M,True,True,usa,san francisco,SFO,37.619,-122.375,2022-09-27,50,"{'left': 50, 'right': 60}",474.0,474.0,2.0,1,1.0,4.0,lost,lost
343928,8,2023-07-19 21:04:00,122,15.25,4,1,2,0,0,6,0.2,,2775.31,116.0,4.0,2,16277.405440945888,8138.702720472944,16.0,8.0,1959-01-26,F,True,False,usa,el paso,BIF,31.849,-106.38,2022-09-30,64,"{'left': 60, 'right': 70}",6014.62,3007.31,5.0,2,5.0,12.0,high potential,high potential
347778,9,2023-06-23 11:43:00,162,18.0,10,4,5,0,0,4,,,846.738,226.75,3.25,4,12439.855275919506,2487.971055183901,15.0,3.0,1974-07-20,F,False,False,usa,las vegas,LSV,36.236,-115.034,2022-10-03,49,"{'left': 40, 'right': 50}",10412.69,2082.538,4.0,5,5.0,14.0,champion,champion
348817,8,2023-05-19 19:38:00,125,15.625,6,4,4,0,0,4,,,458.20666666666665,259.0,3.0,3,7954.440310593096,2651.480103531032,12.0,3.0,1995-08-07,F,False,False,canada,calgary,YYC,51.114,-114.02,2022-10-04,28,"{'left': 20, 'right': 30}",4807.62,1201.905,3.0,4,4.0,11.0,need attention,need attention
348863,8,,81,10.125,0,0,0,0,0,8,,,,,,0,,,,,1957-01-13,F,True,False,usa,san antonio,SKF,29.384,-98.581,2022-10-04,66,"{'left': 60, 'right': 70}",,,,1,,,inactive,inactive
349132,9,2023-03-22 19:12:00,133,14.777777777777779,4,3,3,0,0,6,,0.1,360.53,193.66666666666666,5.333333333333333,2,2115.3458549274505,1057.6729274637253,16.0,5.333333333333333,1975-06-17,F,False,False,usa,cincinnati,CVG,39.046,-84.662,2022-10-04,48,"{'left': 40, 'right': 50}",4957.06,1652.3533333333335,2.0,3,4.0,9.0,dormant,need attention
350648,8,,295,36.875,0,0,0,1,1,6,,,,,,0,,,,,2006-03-02,F,False,False,usa,lincoln,LNK,40.851,-96.759,2022-10-05,17,"{'left': 17, 'right': 20}",,,,1,,,inactive,inactive
353271,8,2023-03-16 19:18:00,84,10.5,2,1,1,0,0,7,,,408.4,136.0,1.0,1,1196.5567321906483,1196.5567321906483,1.0,1.0,1997-09-05,F,False,True,usa,milwaukee,MKE,42.947,-87.896,2022-10-07,26,"{'left': 20, 'right': 30}",680.4,680.4,2.0,1,1.0,4.0,lost,lost
353694,8,2023-07-05 21:18:00,100,12.5,3,2,2,0,0,6,,,230.685,124.0,5.0,2,2710.977836779728,1355.488918389864,11.0,5.5,1984-06-17,F,False,True,usa,new york,LGA,40.777,-73.872,2022-10-07,39,"{'left': 30, 'right': 40}",2236.37,1118.185,5.0,2,2.0,9.0,new customer,new / need attention
354050,8,2023-07-04 15:14:00,172,21.5,9,5,5,0,0,3,0.05,0.05,391.57599999999996,210.4,2.8,5,10750.842320463888,2150.1684640927774,18.0,3.6,1974-05-28,F,False,False,usa,detroit,DET,42.409,-83.01,2022-10-07,49,"{'left': 40, 'right': 50}",5064.88,1012.976,5.0,5,5.0,15.0,champion,champion
354260,8,2023-02-10 21:54:00,116,14.5,4,1,2,0,0,6,,,582.505,260.0,3.0,2,6658.666601586367,3329.3333007931833,5.0,2.5,1974-09-27,F,False,False,usa,providence,PVD,41.724,-71.428,2022-10-07,49,"{'left': 40, 'right': 50}",1945.0099999999998,972.5049999999999,1.0,2,2.0,5.0,lost,lost
354311,8,2023-03-11 22:46:00,98,12.25,4,1,2,0,0,6,,,536.4449999999999,97.0,4.0,1,6123.622876890249,3061.8114384451246,5.0,2.5,1978-07-12,F,True,False,usa,tucson,DMA,32.166,-110.883,2022-10-08,45,"{'left': 40, 'right': 50}",1460.8899999999999,730.4449999999999,1.0,2,2.0,5.0,lost,lost
354950,8,2023-01-28 20:41:00,100,12.5,2,1,1,0,0,7,,,460.54,127.0,7.0,1,2463.0593331603477,2463.0593331603477,7.0,7.0,1970-10-19,M,True,False,usa,amarillo,AMA,35.219,-101.706,2022-10-08,53,"{'left': 50, 'right': 60}",1349.54,1349.54,1.0,1,2.0,4.0,lost,lost
356046,8,2023-03-03 17:37:00,101,12.625,4,2,2,0,0,6,,,391.905,97.5,2.5,2,3793.987776198485,1896.9938880992424,6.0,3.0,1989-10-17,F,False,False,canada,ottawa,YOW,45.323,-75.669,2022-10-09,34,"{'left': 30, 'right': 40}",1581.81,790.905,1.0,2,2.0,5.0,lost,lost
357737,8,2023-06-26 21:35:00,419,52.375,6,4,4,1,1,2,,0.07500000000000001,653.2333333333332,131.75,3.75,3,11010.178812762018,3670.059604254006,18.0,4.5,1982-10-04,F,True,True,usa,san diego,SAN,32.733,-117.189,2022-10-10,41,"{'left': 40, 'right': 50}",3708.7,927.175,4.0,4,4.0,12.0,champion,champion
359072,8,2023-04-29 19:06:00,318,39.75,4,2,2,1,1,4,,,66.575,165.0,2.0,2,769.5326475352515,384.76632376762575,6.0,3.0,1972-12-09,F,True,True,canada,montreal,YUL,45.468,-73.741,2022-10-11,51,"{'left': 50, 'right': 60}",793.1500000000001,396.57500000000005,3.0,2,1.0,6.0,one timer,lost
